price,surface,localisation,description,nombre_pieces,rue,link,labels_predicted
15001.0,230.0, Paris 1er (75),"Belle boutique d'angle au coeur du Chatêlet, Rue Saint-Honoré et Rue Prouvaires, à côté du forum des Halles et à proximité de la Samaritaine.
CARACTERISTIQUES DE L'OFFRE :&nbsp;
Nous vous proposons cette boutique avec extraction d'environ 230 m² sur 4 niveaux avec façade de plus de 15 mètres.
Le Rez-de-Chaussée est d'environ 130 m² avec surface de vente, une grande cuisine et un ascenseur deservant le rez-de-chaussée et les 2 sous-sols.
Les 2 sous-sols sont à usages de réserves, vestiaires, chambres froides. Une petite mezzanine est présente avec un bureau, un sanitaire et une douche (environ 10/12…",-1,Rue Saint,https://immobilier.lefigaro.fr/annonces/annonce-45213614.html,0
15886.0,250.0, Paris 10ème (75),"A la lisière du 9ème arrondissement, rue de Paradis , dans un immeuble tertiaire de standing, à louer une surface lumineuse. CARACTERISTIQUES DE L'OFFRE :
Surface d'environ 250m²&nbsp;REFAITS A NEUFS
5ème étage avec ascenseur et 3 accès sur la surface
open space, wc, espace cuisine, climatisation réversible.
Cablâge RJ 45
Calme et clair
Digicode, interphone&nbsp;
Hôtesse d'accueil
Possibilité d'emplacement de parking en sus.
CONDITIONS : Type de bail : Bail 3-6-9 ans - prestation de services&nbsp;
Loyer mensuel : 17 500€/mois tout compris CC TTC - Hors TVA&nbsp;
Disponibilité : Immédiate&nbsp;
&nbsp; Prestations : Ascenseu…",-1,Rue de Paradis,https://immobilier.lefigaro.fr/annonces/annonce-49048886.html,0
18000.0,256.0, Paris 16ème (75),"Prestigieuse adresse parisienne privilégiée, une très belle maison non meublée entièrement repeinte ( travaux à venir) de 311 m² au sol , ouvrant sur balcon-terrasse de 36,60 m² et avec un jardin de 143 m².   Au rez-de-chaussée, une double réception donnant sur le jardin, une cuisine dînatoire séparée et équipée avec coin repas et des toilettes invités.  Au premier étage, deux chambres donnant sur l'avenue dont une avec sa propre salle de bains/wc et l'autre comportant des rangements. Une troisième chambre donnant sur le jardin comportant des rangements.  Au deuxième étage,  vous tomberez sous…",8,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-47931090.html,0
10565.0,325.3, Paris 8ème (75),"PARC MONCEAU - RUE DE COURCELLES Paris 8ème au deuxième étage avec ascenseur d'un immeuble ancien et sécurisé, un appartement de sept pièces comprenant : une entrée, un salon, un séjour, une salle à manger, un dégagement, trois chambres, un bureau, une salle de bains avec douche, une salle d’eau avec WC et un WC séparés.

Chauffage au gaz et eau chaude individuels électriques.



Un box fermé et une cave complètent ce bien. 



BIEN INSTITUTIONNEL: Bail Code Civil (bail au nom d'une société ou résidence secondaire), honoraires à la charge du locataire : 12 % TTC du loyer annuel hors charges.

…",7,Rue de Courcelles,https://immobilier.lefigaro.fr/annonces/annonce-47334388.html,1
8000.0,220.0, Paris 3ème (75),"LOCATION MEUBLÉE COURTE DUREE - LOFT - 75003 PARIS    METRO ST SEBASTIEN FROISSARD (ligne 8) &amp; SAINT PAUL (ligne 1)    RARE ! LOFT EXCEPTIONNEL AVEC TERRASSE DE 100M² AU CUR DU MARAIS - 3 CHAMBRES   A DEUX PAS DE LA PLACE DES VOSGES ET L'OPÉRA BASTILLE!  Intérieur moderne, grand confort pour cet appartement avec parquet, poutres, belle hauteur sous plafond, grande luminosité, et calme.     Dans le cœur historique de Paris (proche Place des Vosges, Marais) dans un quartier vivant cet appartement est situé dans un immeuble du XVIIème siècle, niché dans une impasse secrète.     Entièrement refai…",5,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-43403004.html,1
21463.0,244.0, Paris 9ème (75),"Entre Le Peletier et Notre-Dame-De-Lorette, Consult'im propose en location 244m² en cours de rénovation avec balcon filant de 14m².
Au 5ème étage, les bureaux seront composés de deux open-space, d'un espace équipe, de deux bureaux, de deux salles de réunion, de sanaitaires et d'une cuisine. Des phones boxs individuelles seront mises à disposition des utilisateurs.&nbsp;
Jusqu'à 35 postes possibles.
Bail : prestation de services de 12 è 36 mois.
Disponibilité: mi-juillet.",-1,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-45025030.html,0
20250.0,437.0, Paris 17ème (75),"iad France - Hector Galloula ( <button>contactez l’annonceur</button>) vous propose : BAIL PRECAIRE    Avenue GOURGAUD                                                                  Immeuble indépendant de 437m2 environ composé :
-d'un sous-sol : local technique et deux bureaux de 20m2 environ
-d'un rdc avec accueil, réception et deux grands bureaux
-d'un 1er étage avec 3 bureaux séparés de 20m2 environ chacun, pièce de rangement et WC.
-d'un 2ème étage avec 2 bureaux, coin cuisine, WC, Open-Space et bureau de direction.
-et d'un 3 ème étage avec un open Space de 70m2 environ
Proche de commerces et transports, immeu…",-1,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-49276400.html,0
9700.0,294.5, Paris 16ème (75),"A LOUER VIDE - ANGLE RUE LAURISTON / RUE BOISSIERE - SUPERBE DUPLEX DE 5 PIÈCES DE 294,5 M² - 4 CHAMBRES.



Dans un très bel immeuble PDT, sécurisé par digicode et interphone. Nous vous proposons ce magnifique duplex de 5 pièces situé aux 3ème et 4ème étages par ascenseur privatif (bureaux dans les étages du dessous).

Il se compose d'une belle entrée exclusive dans l'immeuble au rdc ; au 1er niveau d'une véranda, terrasse au calme, d'un grand séjour avec balcon filant, de deux chambres avec leurs salles de douche et WC, d'une cuisine équipée ; à l'étage, 2 autres chambres avec leur salle de …",5,Rue Lauriston,https://immobilier.lefigaro.fr/annonces/annonce-48343044.html,1
13752.0,280.0, Paris 4ème (75),"Sur la prestigueuse Ile Saint Louis, à proximité du métro Pont Marie, à louer surface commerciale de 280m² répartie sur deux niveaux.&nbsp; CARACTERISTIQUES DE L'OFFRE : REZ DE CHAUSSEE &nbsp;de 182m2,&nbsp;avec le cachet d'époque, poutres apparentes, colombages et pierres apparentes
SOUS-SOL &nbsp;vouté de 98 m2, directement accessible par un escalier intérieur.&nbsp;
PRESTATIONS :
- Double entrée sur la rue Saint Louis en L'ile
- Entrée par les parties communes sur la rue des deux ponts
- Extraction fonctionnelle
-&nbsp;Installation possible d'une deuxième extraction (cheminée)
- Licence 4 possible
- 1 sanitaire PMR en R…",-1,Rue Saint,https://immobilier.lefigaro.fr/annonces/annonce-47672734.html,0
14606.0,368.0, Paris 8ème (75),"Au coeur du QCA, à deux pas du métro et dans un immeuble haussmannien de bon standing avec parties communes de qualité, à louer bureaux livrés rénovés câblés et climatisés d'une surface de 368m² sur deux niveaux CARACTERISTIQUES DE L'OFFRE
A toute proximité du métro Miromenil
Locaux rénovés, cablés et climatisés
- Au 5ème étage (143m²) :
Entrée/accueil
2 open-space
Salle de réunion
Espace de stockage
Cuisine et un bloc sanitaire
- Au 6ème étage (225m²) :
Entrée/accueil
2 open-space, 2 bureaux
Espace reporgrahie
Cuisine et un bloc sanitaire.
Espaces facilement recloisonnables.
Gardien
Fibre opt…",-1,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-47097928.html,0
