price,surface,localisation,description,nombre_pieces,rue,link
21 357 €  CC,351 m² de surface, Paris 8ème (75),"A proximité immédiate du métro Charles de Gaulle Etoie, dans un immeuble de bureaux de standing, à louer des bureaux lumineux avec parquet, moulures et cheminées.
CARACTERISTIQUES DE L'OFFRE :
Proche des transports
Plateau entièrement rénové
Surface de 351m²
Les locaux se composent d'un mix open-spaces et de bureaux cloisonnés avec balcon, salles de réunion, un espace cuisine et des sanitaires.
Au 1er étage avec ascenseur
Archives en sus
Climatisation réversibles
Contrôle d'accès, hôtesse d'accueil, fibre &amp; chauffage CPCU.
Des places de parking disponibles
CONDITIONS : Type de bail : Bail comm…",Inconnu,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-43453208.html
6 923 €  CC,230 m² de surface, Paris 1er (75),"Place VENDÔME,A LOUER VIDE - SUPERBE  DUPLEX  DE 230 M2 

Dans un bel immeuble haussmannien, sécurisé par interphone, digicode . Cet appartement se compose d'une grande entrée, un grand séjour, une 

Cuisine aménagée et équipée une buanderie d'une  chambre à l’étage avec salle de douche + toilettes

Deux autres chambres avec une salle de bain avec baignoire et douche + toilettes

et des Toilettes séparés 

Cet appartement de prestige, situé place Vendôme, se trouve dans un des quartiers les recherché de Paris.         complète ce bien d'exception. 



Loyer HC: 6 343€ ; Provisions sur charges:…",,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-39231075.html
27 290 €  CC,963 m² de surface, Paris 19ème (75),"Consult'im vous propose entre les Métro Ourcq et Crimée des bureaux au 5ème étage de 963 m² non divisible. Surface rationnelle et lumineuse, réflexion en cours pour la rénovation du hall. Accès PMR, Restauration Bon Bocal, espace conciergerie connectée, gestionnaire technique sur site, Terrasse privative accessible. 125 places de parking en sous-sol.
CARACTERISTIQUES DE L'OFFRE &nbsp;:
Rationnelle et lumineuse
Climatisation réversible
PMR
Pc sécurité
Terasse privative
125 emplacements parkings au sous-sol
CONDITIONS &nbsp;:&nbsp; Type de bail &nbsp;: Bail 3-6-9 ans
Disponibilité &nbsp;: Après accord Prestations : Accè…",Inconnu,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-46996914.html
16 700 €  CC,403 m² de surface, Paris 3ème (75),"Dans un immeuble bon standing, deux grands plateaux de bureaux type loft en duplex - 265 m2 et 138 m2 reliés par escalier intérieur privatif.

Grande souplesse d'aménagement

Parquet, lumineux, ascenseur, monte-charge, gardienne.

Loyer en cours de détermination.

Visites : Pascal COLIN <button>contactez l’annonceur</button>",,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-41657755.html
28 350 €  CC,650 m² de surface, Paris 4ème (75),,Inconnu,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-49683298.html
16 680 €  CC,265 m² de surface, Paris 16ème (75),"A proximité de la place Charles de Gaulle Etoile et de l'avenue d'Iéna, dans un très bel hôtel particulier de prestige avec hôtesse d'accueil, bureaux de 265m²,&nbsp;situés au 2ème étage avec ascenseur se composant d'une très belle entrée/accueil desservant 5 beaux bureaux sur rue et jardin, une très belle pièce en open space sur cour, une salle de réunion, local archives, bloc sanitaires H/F. Balcon sur rue.
Câblage informatique et fibre.
Bail : Prestations de services
Disponibilité immédiate Prestations : Ascenseur;Câblage informatique;Chauffage collectif;Cuisine;Faux plancher technique;Hôtesse d…",Inconnu,Rue Et,https://immobilier.lefigaro.fr/annonces/annonce-42615815.html
9 005 €  CC,225 m² de surface, Paris 8ème (75),"Au coeur du QCA, à deux pas du métro et dans un immeuble haussmannien de bon standing avec parties communes de qualité, à louer bureaux livrés rénovés câblés et climatisés d'une surface de 225m² situés au 6ème étage avec ascenseur CARACTERISTIQUES DE L'OFFRE :
A toute proximité du métro Miromenil
Locaux rénovés, cablés et climatisés
Surface d'environ 225m²
Accueil
2 open spaces
2 bureaux
Local technique
Cuisine
Bloc sanitaires
Beaux volumes
Calme et lumineux, vue dégagée sur les toits de Paris
Fibre
CONDITIONS FINANCIERES :&nbsp; Type de bail : Bail commercial 3/6/9 ans Loyer bureaux &nbsp;: 480 €/m²/an…",Inconnu,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-47097924.html
15 900 €  CC,464 m² de surface, Paris 3ème (75),"En plein cœur du Marais, nous vous proposons un local commercial de 464 m² (232 m² en RDC et 232 m² en sous-sol) répondant aux normes PMR et ERP (pour le RDC).

Situé entre la place des Vosges, la rue de Turenne et le boulevard Beaumarchais, ce local dispose d'un emplacement de choix dans un quartier en perpétuelle effervescence.

Pas de droit au bail - Loyer pur - Pas de supermarché

Informations et visites auprès de Vincent ALLOUCH <button>contactez l’annonceur</button>",Inconnu,Rue de Turenne,https://immobilier.lefigaro.fr/annonces/annonce-49268750.html
25 000 €  Hors charges,240 m² de surface, Paris 8ème (75),"Situé a proximité du Parc Monceau, dans le quartier résidentiel et familial du 8ème arrondissement, Engel &amp; Völkers vous propose la location d'un appartement meublé de 240m², 7 pièces au 4ème étage avec ascenseur d'un bel immeuble haussmannien.

Cet appartement se compose d'une magnifique entrée avec dégagement en marbre, donnant sur un double séjour avec une très belle hauteur sous plafond, moulure et dorures d'origines, d'une grande cuisine dinatoire aménagée et séparée,

La partie nuit se compose de quatre chambres et de quatre salles d'eau, un parking complète ce bien. 

DPE : A
Loyer 24 2…",,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-47412484.html
10 565 €  CC,325.3 m² de surface, Paris 8ème (75),"PARC MONCEAU - RUE DE COURCELLES Paris 8ème au deuxième étage avec ascenseur d'un immeuble ancien et sécurisé, un appartement de sept pièces comprenant : une entrée, un salon, un séjour, une salle à manger, un dégagement, trois chambres, un bureau, une salle de bains avec douche, une salle d’eau avec WC et un WC séparés.

Chauffage au gaz et eau chaude individuels électriques.



Un box fermé et une cave complètent ce bien. 



BIEN INSTITUTIONNEL: Bail Code Civil (bail au nom d'une société ou résidence secondaire), honoraires à la charge du locataire : 12 % TTC du loyer annuel hors charges.

…",,Rue de Courcelles,https://immobilier.lefigaro.fr/annonces/annonce-47334388.html
21 463 €  CC,244 m² de surface, Paris 9ème (75),"Entre Le Peletier et Notre-Dame-De-Lorette, Consult'im propose en location 244m² en cours de rénovation avec balcon filant de 14m².
Au 5ème étage, les bureaux seront composés de deux open-space, d'un espace équipe, de deux bureaux, de deux salles de réunion, de sanaitaires et d'une cuisine. Des phones boxs individuelles seront mises à disposition des utilisateurs.&nbsp;
Jusqu'à 35 postes possibles.
Bail : prestation de services de 12 è 36 mois.
Disponibilité: mi-juillet.",Inconnu,Inconnu,https://immobilier.lefigaro.fr/annonces/annonce-45025030.html
